V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate,,V4_1
7.39,,7.34,7.44,2011-12,2012,E12000009,South West,happiness,Happiness,average-mean,Average (mean),2012South West,92.54437642
7.5,,7.46,7.55,2014-15,2015,E12000009,South West,happiness,Happiness,average-mean,Average (mean),2015South West,98.50625666
7.52,,7.47,7.57,2016-17,2017,E12000009,South West,happiness,Happiness,average-mean,Average (mean),2017South West,102.5541811
7.36,,7.31,7.41,2012-13,2013,E12000009,South West,happiness,Happiness,average-mean,Average (mean),2013South West,94.19086342
7.54,,7.49,7.58,2015-16,2016,E12000009,South West,happiness,Happiness,average-mean,Average (mean),2016South West,100
7.56,,7.51,7.6,2019-20,2020,E12000009,South West,happiness,Happiness,average-mean,Average (mean),2020South West,#N/A
7.37,,7.31,7.42,2012-13,2013,E12000004,East Midlands,happiness,Happiness,average-mean,Average (mean),2013East Midlands,94.62133579
7.34,,7.28,7.39,2011-12,2012,E12000004,East Midlands,happiness,Happiness,average-mean,Average (mean),2012East Midlands,92.47731833
7.53,,7.47,7.59,2017-18,2018,E12000004,East Midlands,happiness,Happiness,average-mean,Average (mean),2018East Midlands,102.6661966
7.57,,7.51,7.63,2015-16,2016,E12000004,East Midlands,happiness,Happiness,average-mean,Average (mean),2016East Midlands,100
7.39,,7.31,7.46,2020-21,2021,E12000004,East Midlands,happiness,Happiness,average-mean,Average (mean),2021East Midlands,#N/A
7.52,,7.47,7.58,2014-15,2015,E12000004,East Midlands,happiness,Happiness,average-mean,Average (mean),2015East Midlands,98.23048249
7.42,,7.36,7.47,2013-14,2014,E12000004,East Midlands,happiness,Happiness,average-mean,Average (mean),2014East Midlands,96.76628732
7.54,,7.47,7.6,2016-17,2017,E12000004,East Midlands,happiness,Happiness,average-mean,Average (mean),2017East Midlands,101.6479249
7.58,,7.52,7.64,2018-19,2019,E12000004,East Midlands,happiness,Happiness,average-mean,Average (mean),2019East Midlands,103.0383345
7.52,,7.46,7.59,2019-20,2020,E12000004,East Midlands,happiness,Happiness,average-mean,Average (mean),2020East Midlands,#N/A
7.36,,7.31,7.41,2013-14,2014,E12000003,Yorkshire and The Humber,happiness,Happiness,average-mean,Average (mean),2014Yorkshire and The Humber,97.07903924
7.24,,7.17,7.3,2020-21,2021,E12000003,Yorkshire and The Humber,happiness,Happiness,average-mean,Average (mean),2021Yorkshire and The Humber,#N/A
7.49,,7.44,7.54,2018-19,2019,E12000003,Yorkshire and The Humber,happiness,Happiness,average-mean,Average (mean),2019Yorkshire and The Humber,104.3749903
7.41,,7.36,7.46,2014-15,2015,E12000003,Yorkshire and The Humber,happiness,Happiness,average-mean,Average (mean),2015Yorkshire and The Humber,99.59143584
7.45,,7.4,7.5,2015-16,2016,E12000003,Yorkshire and The Humber,happiness,Happiness,average-mean,Average (mean),2016Yorkshire and The Humber,100
7.48,,7.43,7.54,2017-18,2018,E12000003,Yorkshire and The Humber,happiness,Happiness,average-mean,Average (mean),2018Yorkshire and The Humber,103.549127
7.48,,7.43,7.53,2016-17,2017,E12000003,Yorkshire and The Humber,happiness,Happiness,average-mean,Average (mean),2017Yorkshire and The Humber,102.3530609
7.44,,7.38,7.49,2019-20,2020,E12000003,Yorkshire and The Humber,happiness,Happiness,average-mean,Average (mean),2020Yorkshire and The Humber,#N/A
7.28,,7.23,7.32,2012-13,2013,E12000003,Yorkshire and The Humber,happiness,Happiness,average-mean,Average (mean),2013Yorkshire and The Humber,95.7898213
7.26,,7.21,7.31,2011-12,2012,E12000003,Yorkshire and The Humber,happiness,Happiness,average-mean,Average (mean),2012Yorkshire and The Humber,95.05042665
7.44,,7.4,7.48,2017-18,2018,E12000007,London,happiness,Happiness,average-mean,Average (mean),2018London,103.8488874
7.24,,7.19,7.3,2020-21,2021,E12000007,London,happiness,Happiness,average-mean,Average (mean),2021London,#N/A
7.21,,7.17,7.25,2012-13,2013,E12000007,London,happiness,Happiness,average-mean,Average (mean),2013London,90.66777931
7.33,,7.29,7.37,2013-14,2014,E12000007,London,happiness,Happiness,average-mean,Average (mean),2014London,94.4390514
