Date,ADDYY,NKE
2016-12-09,72.53643035888672,49.09908676147461
2016-12-12,72.89825439453125,48.928199768066406
2016-12-13,73.71711730957031,49.649688720703125
2016-12-14,71.46047973632812,49.1655387878418
2016-12-15,71.27957153320312,48.69086456298828
2016-12-16,71.40335083007812,48.33961868286133
2016-12-19,71.67947387695312,48.27315902709961
2016-12-20,72.16508483886719,49.1655387878418
2016-12-21,71.99369812011719,49.649688720703125
2016-12-22,71.92705535888672,49.49779510498047
2016-12-23,71.82230377197266,49.27945327758789
2016-12-27,72.44121551513672,48.69086456298828
2016-12-28,72.78399658203125,48.43455123901367
2016-12-29,73.59334564208984,48.472530364990234
2016-12-30,74.7930908203125,48.25418472290039
2017-01-03,73.84091186523438,49.34590530395508
2017-01-04,72.75543975830078,50.380672454833984
2017-01-05,72.79352569580078,50.37118148803711
2017-01-06,72.71734619140625,51.178104400634766
2017-01-09,72.57451629638672,50.674949645996094
2017-01-10,72.68877410888672,50.41863250732422
2017-01-11,73.29817199707031,50.01991653442383
2017-01-12,74.08847045898438,49.74462127685547
2017-01-13,74.94542694091797,50.2382698059082
2017-01-17,75.2786865234375,50.9312744140625
2017-01-18,77.02116394042969,50.570526123046875
2017-01-19,77.26872253417969,50.24775695800781
2017-01-20,77.45915985107422,50.50407409667969
2017-01-23,78.28755187988281,50.542049407958984
2017-01-24,78.21138000488281,50.74140548706055
2017-01-25,78.85884857177734,51.13063430786133
2017-01-26,78.93502807617188,50.9312744140625
2017-01-27,78.37324523925781,50.49458694458008
2017-01-30,76.85929107666016,50.39016342163086
2017-01-31,75.1834716796875,50.21928405761719
2017-02-01,75.55481719970703,50.33319854736328
2017-02-02,75.45960235595703,50.12434768676758
2017-02-03,75.63098907470703,49.70664978027344
2017-02-06,73.50764465332031,50.12434768676758
2017-02-07,73.50764465332031,50.13385009765625
2017-02-08,73.20295715332031,51.149620056152344
2017-02-09,75.17394256591797,52.507164001464844
2017-02-10,75.68811798095703,53.371036529541016
2017-02-13,76.34512329101562,53.24763488769531
2017-02-14,76.0785140991211,53.58938217163086
2017-02-15,75.56433868408203,53.769752502441406
2017-02-16,75.12633514404297,53.4374885559082
2017-02-17,75.0596923828125,53.874176025390625
2017-02-21,76.4022445678711,54.45326232910156
2017-02-22,77.00212097167969,55.28868103027344
2017-02-23,77.05924987792969,54.481746673583984
2017-02-24,76.5355453491211,54.92793273925781
2017-02-27,79.4111099243164,54.76654052734375
2017-02-28,79.7634048461914,54.26340103149414
2017-03-01,80.75366973876953,55.01336669921875
2017-03-02,81.36306762695312,55.04193878173828
2017-03-03,81.22975158691406,53.99443435668945
2017-03-06,80.88697814941406,54.06108856201172
2017-03-07,80.515625,53.85158157348633
2017-03-08,87.34271240234375,53.8134880065918
2017-03-09,89.74217224121094,53.670650482177734
2017-03-10,91.35134887695312,53.737308502197266
2017-03-13,91.41799926757812,53.96585464477539
2017-03-14,88.79000091552734,54.546756744384766
2017-03-15,91.99882507324219,54.90862274169922
2017-03-16,93.92220306396484,54.85148239135742
2017-03-17,93.74128723144531,55.04193878173828
2017-03-20,92.73198699951172,55.87995529174805
2017-03-21,92.67486572265625,55.24192428588867
2017-03-22,92.09404754638672,51.347076416015625
2017-03-23,91.99882507324219,52.72789001464844
2017-03-24,91.74172973632812,53.670650482177734
2017-03-27,91.5608139038086,53.26117706298828
2017-03-28,91.78934478759766,53.918251037597656
2017-03-29,91.29420471191406,53.97538757324219
2017-03-30,90.427734375,53.365928649902344
2017-03-31,90.63722229003906,53.070709228515625
2017-04-03,89.64695739746094,52.90884017944336
2017-04-04,90.36109161376953,52.41365432739258
2017-04-05,88.9994888305664,52.356502532958984
2017-04-06,89.51365661621094,52.50886917114258
2017-04-07,89.87547302246094,52.48030471801758
2017-04-10,89.57078552246094,52.28031539916992
2017-04-11,88.95187377929688,52.29936218261719
2017-04-12,90.03734588623047,52.918338775634766
2017-04-13,89.91355895996094,52.6993293762207
2017-04-17,90.59912872314453,53.55638122558594
2017-04-18,90.90382385253906,53.432579040527344
2017-04-19,90.06590270996094,53.194515228271484
2017-04-20,90.93238830566406,53.70875549316406
2017-04-21,92.12259674072266,53.18498992919922
2017-04-24,95.4456787109375,52.82312774658203
2017-04-25,96.69302368164062,52.804080963134766
2017-04-26,95.85511016845703,52.52790832519531
2017-04-27,95.71228790283203,52.82312774658203
2017-04-28,95.50281524658203,52.76598358154297
2017-05-01,95.9979476928711,52.36601638793945
2017-05-02,95.53138732910156,52.442203521728516
2017-05-03,94.50303649902344,51.927974700927734
2017-05-04,95.83607482910156,51.8708381652832
2017-05-05,97.11197662353516,51.37565231323242
2017-05-08,95.06480407714844,51.70895004272461
2017-05-09,95.1790771484375,52.27079772949219
2017-05-10,93.71273040771484,51.95654296875
2017-05-11,92.84625244140625,51.65182113647461
2017-05-12,92.57473754882812,51.61372375488281
2017-05-15,93.47016143798828,51.20424270629883
2017-05-16,94.63516998291016,50.26148986816406
2017-05-17,92.54586029052734,49.328243255615234
2017-05-18,93.0657730102539,49.21397018432617
2017-05-19,92.73841857910156,49.29967498779297
2017-05-22,92.86358642578125,49.10921859741211
2017-05-23,92.18961334228516,49.70915603637695
2017-05-24,91.5252685546875,49.528221130371094
2017-05-25,92.08370208740234,49.85199737548828
2017-05-26,92.43031311035156,50.08053970336914
2017-05-30,93.5760726928711,50.394798278808594
2017-05-31,92.38217163085938,50.46146011352539
2017-06-01,92.62287139892578,49.97414016723633
2017-06-02,93.41238403320312,50.623905181884766
2017-06-05,92.63250732421875,50.652557373046875
